"agegrp","sex","oud","initial_block","to_No_Treatment_cycle52","to_Buprenorphine_cycle52","to_Naltrexone_cycle52","to_Methadone_cycle52","to_Detox_cycle52","to_corresponding_post_trt_cycle52","to_No_Treatment_cycle104","to_Buprenorphine_cycle104","to_Naltrexone_cycle104","to_Methadone_cycle104","to_Detox_cycle104","to_corresponding_post_trt_cycle104","to_No_Treatment_cycle156","to_Buprenorphine_cycle156","to_Naltrexone_cycle156","to_Methadone_cycle156","to_Detox_cycle156","to_corresponding_post_trt_cycle156"
"16_17","Female","Active_Noninjection","No_Treatment",0.990601103038112,0.00270197079381107,0.00162205966028472,0.000540979159104782,0.0045338873486873,0,0.989581946316383,0.00270197079381107,0.00162205966028472,0.000540979159104782,0.00555304407041603,0,0.990488321588311,0.00270197079381107,0.00162205966028472,0.000540979159104782,0.00464666879848813,0
"16_17","Female","Active_Injection","No_Treatment",0.990601103038112,0.00270197079381107,0.00162205966028472,0.000540979159104782,0.0045338873486873,0,0.989581946316383,0.00270197079381107,0.00162205966028472,0.000540979159104782,0.00555304407041603,0,0.990488321588311,0.00270197079381107,0.00162205966028472,0.000540979159104782,0.00464666879848813,0
"16_17","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"16_17","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"18_19","Male","Active_Noninjection","No_Treatment",0.991166530551714,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00456064526091008,0,0.990141359012236,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00558581680038879,0,0.991053083492933,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00467409231969102,0
"18_19","Male","Active_Injection","No_Treatment",0.991166530551714,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00456064526091008,0,0.990141359012236,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00558581680038879,0,0.991053083492933,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00467409231969102,0
"18_19","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"18_19","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"18_19","Female","Active_Noninjection","No_Treatment",0.990601103038112,0.00270197079381107,0.00162205966028472,0.000540979159104782,0.0045338873486873,0,0.989581946316383,0.00270197079381107,0.00162205966028472,0.000540979159104782,0.00555304407041603,0,0.990488321588311,0.00270197079381107,0.00162205966028472,0.000540979159104782,0.00464666879848813,0
"18_19","Female","Active_Injection","No_Treatment",0.990601103038112,0.00270197079381107,0.00162205966028472,0.000540979159104782,0.0045338873486873,0,0.989581946316383,0.00270197079381107,0.00162205966028472,0.000540979159104782,0.00555304407041603,0,0.990488321588311,0.00270197079381107,0.00162205966028472,0.000540979159104782,0.00464666879848813,0
"18_19","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"18_19","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"20_21","Male","Active_Noninjection","No_Treatment",0.983775576252829,0.00513826885326718,0.00115085241235224,0.000908677811141123,0.00902662467041003,0,0.981746512780391,0.00513826885326718,0.00115085241235224,0.000908677811141123,0.0110556881428482,0,0.983551036969243,0.00513826885326718,0.00115085241235224,0.000908677811141123,0.00925116395399666,0
"20_21","Male","Active_Injection","No_Treatment",0.983775576252829,0.00513826885326718,0.00115085241235224,0.000908677811141123,0.00902662467041003,0,0.981746512780391,0.00513826885326718,0.00115085241235224,0.000908677811141123,0.0110556881428482,0,0.983551036969243,0.00513826885326718,0.00115085241235224,0.000908677811141123,0.00925116395399666,0
"20_21","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"20_21","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"20_21","Female","Active_Noninjection","No_Treatment",0.983163077862349,0.00570666128055841,0.00104866761918199,0.00162020455355205,0.00846138868435883,0,0.981261071815524,0.00570666128055841,0.00104866761918199,0.00162020455355205,0.0103633947311832,0,0.982952598948834,0.00570666128055841,0.00104866761918199,0.00162020455355205,0.00867186759787365,0
"20_21","Female","Active_Injection","No_Treatment",0.983163077862349,0.00570666128055841,0.00104866761918199,0.00162020455355205,0.00846138868435883,0,0.981261071815524,0.00570666128055841,0.00104866761918199,0.00162020455355205,0.0103633947311832,0,0.982952598948834,0.00570666128055841,0.00104866761918199,0.00162020455355205,0.00867186759787365,0
"20_21","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"20_21","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"22_23","Male","Active_Noninjection","No_Treatment",0.983775576252829,0.00513826885326718,0.00115085241235224,0.000908677811141123,0.00902662467041003,0,0.981746512780391,0.00513826885326718,0.00115085241235224,0.000908677811141123,0.0110556881428482,0,0.983551036969243,0.00513826885326718,0.00115085241235224,0.000908677811141123,0.00925116395399666,0
"22_23","Male","Active_Injection","No_Treatment",0.983775576252829,0.00513826885326718,0.00115085241235224,0.000908677811141123,0.00902662467041003,0,0.981746512780391,0.00513826885326718,0.00115085241235224,0.000908677811141123,0.0110556881428482,0,0.983551036969243,0.00513826885326718,0.00115085241235224,0.000908677811141123,0.00925116395399666,0
